,Date to Expired,Date,S50U21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
70,70,2021-06-17,968.1,975,24.6,30.8,55.400000000000006,15.6,20.0,35.6,976.33,982.99,972.72,973.93,0.20268645616625877
71,71,2021-06-16,974.7,975,29.0,28.6,57.6,17.3,18.4,35.7,979.55,985.12,976.41,980.13,0.20269771154725577
72,72,2021-06-15,975.8,975,29.0,29.6,58.6,18.0,19.5,37.5,988.2,989.5,976.81,979.39,0.20302139546729037
73,73,2021-06-14,983.9,975,33.8,26.0,59.8,22.0,16.8,38.8,993.95,995.06,984.94,988.38,0.20310682892288495
74,74,2021-06-11,985.6,975,35.1,28.7,63.8,24.0,17.6,41.6,985.97,990.79,983.89,990.78,0.2037719160999381
75,75,2021-06-10,976.9,975,32.5,29.5,62.0,21.0,19.7,40.7,985.82,989.23,980.02,981.6,0.20358520653663778
76,76,2021-06-09,974.4,975,32.3,29.3,61.599999999999994,20.6,19.7,40.3,976.13,983.58,975.98,982.05,0.2037510378107649
77,77,2021-06-08,966.1,975,27.9,34.3,62.199999999999996,17.1,23.0,40.1,973.86,977.28,967.19,973.13,0.2044136195034933
78,78,2021-06-07,967.1,975,28.8,34.5,63.3,17.4,24.0,41.4,976.48,981.93,971.75,972.97,0.2044651914221099
79,79,2021-06-04,966.1,975,27.6,35.0,62.6,16.3,24.0,40.3,974.25,980.59,972.19,972.32,0.20447823557938483
80,80,2021-06-02,974.2,975,32.5,32.8,65.3,19.2,22.1,41.3,984.63,986.37,975.07,978.28,0.2048214481502381
81,81,2021-06-01,976.7,975,33.0,33.3,66.3,19.5,23.1,42.6,968.66,982.49,964.72,981.19,0.20489578223905866
82,82,2021-05-31,956.8,950,36.1,30.2,66.3,23.4,20.6,44.0,956.03,963.49,952.25,962.58,0.20424010151212488
83,83,2021-05-28,952.4,950,35.9,34.0,69.9,23.0,23.1,46.1,962.07,965.22,954.83,956.19,0.2049665124361225
84,84,2021-05-27,948.7,950,34.6,35.0,69.6,23.0,24.9,47.9,948.71,961.21,946.73,957.1,0.20505748732817336
85,85,2021-05-25,940.7,950,31.9,40.0,71.9,21.8,29.8,51.6,942.82,949.91,940.3,948.06,0.2055599496095804
86,86,2021-05-24,930.6,925,40.7,33.7,74.4,29.8,26.0,55.8,938.47,941.96,933.25,934.83,0.20607434567269126
87,87,2021-05-21,933.7,925,36.9,36.5,73.4,27.2,28.5,55.7,941.28,941.77,931.84,937.53,0.20684544758728277
88,88,2021-05-20,931.7,925,38.3,39.3,77.6,28.0,29.0,57.0,945.18,947.36,937.83,938.31,0.20687138769145885
89,89,2021-05-19,936.4,925,41.9,35.0,76.9,29.2,27.0,56.2,943.94,949.25,941.38,943.47,0.20689253309219283
90,90,2021-05-18,942.9,950,33.8,43.4,77.19999999999999,24.0,33.0,57.0,946.09,951.89,944.88,948.87,0.20692253877797465
91,91,2021-05-17,930.7,925,45.0,38.0,83.0,32.0,29.8,61.8,934.61,942.97,927.06,938.99,0.20719810417832127
92,92,2021-05-14,930.5,925,43.5,40.0,83.5,30.4,30.5,60.9,941.96,944.15,928.1,938.68,0.20727996140460922
93,93,2021-05-13,926.6,925,38.5,36.0,74.5,27.0,30.0,57.0,940.79,944.41,912.03,938.33,0.2073942479605743
