Date,Open,High,Low,Close
2020-02-11,1033.20,1034.14,1021.19,1021.95
2020-02-12,1027.66,1036.91,1025.87,1034.01
2020-02-13,1032.93,1034.95,1025.10,1026.68
2020-02-14,1030.08,1031.78,1019.94,1022.02
2020-02-17,1023.69,1028.12,1021.04,1025.18
2020-02-18,1019.47,1020.52,1012.54,1015.09
2020-02-19,1018.00,1022.72,1008.34,1011.38
2020-02-20,1010.72,1011.09,994.55,999.99
2020-02-21,990.51,1003.66,989.65,1003.51
2020-02-24,987.78,988.80,962.25,962.25
2020-02-25,964.38,974.46,952.09,967.92
2020-02-26,958.07,961.12,917.49,917.49
2020-02-27,922.16,942.12,909.98,938.77
2020-02-28,903.70,911.85,894.31,897.84
2020-03-02,911.75,915.20,884.05,897.96
2020-03-03,915.55,933.11,910.00,928.25
2020-03-04,917.65,931.33,915.15,928.25
2020-03-05,937.25,948.74,934.94,934.94
2020-03-06,921.45,922.41,910.15,914.22
2020-03-09,839.28,864.17,823.11,827.85
2020-03-10,833.45,852.25,830.31,839.52
2020-03-11,836.90,848.23,812.00,822.99
2020-03-12,769.29,772.45,712.65,726.73
2020-03-13,653.63,777.49,628.97,749.01
2020-03-16,707.26,732.79,687.01,689.47
2020-03-17,690.68,710.79,683.16,683.16
2020-03-18,697.38,715.32,675.79,693.14
2020-03-19,670.64,697.29,665.27,691.99
2020-03-20,718.02,761.08,710.41,756.11
2020-03-23,693.19,711.63,679.35,680.07
2020-03-24,712.99,715.76,681.94,691.15
2020-03-25,715.20,745.13,704.52,728.53
2020-03-26,724.06,746.55,721.66,737.58
2020-03-27,753.99,761.24,732.02,740.05
2020-03-30,730.57,736.34,719.39,729.91
2020-03-31,747.15,758.79,741.68,756.91
2020-04-01,749.55,761.18,740.29,740.46
2020-04-02,747.35,772.59,741.04,767.79
2020-04-03,777.96,782.72,760.30,766.67
2020-04-07,804.69,830.44,793.47,825.42
2020-04-08,814.38,823.28,805.74,815.05
2020-04-09,825.30,842.10,809.88,816.47
2020-04-10,812.42,829.13,811.16,829.00
2020-04-13,828.97,833.98,821.75,833.16
2020-04-14,844.94,854.07,834.11,845.32
2020-04-15,841.46,847.45,827.05,828.38
2020-04-16,820.44,824.95,801.61,801.61
2020-04-17,825.35,834.33,816.02,833.49
2020-04-20,835.76,862.09,831.68,855.45
2020-04-21,839.55,850.30,835.93,842.65
2020-04-22,836.19,850.03,825.29,848.81
2020-04-23,851.45,859.57,845.89,854.09
2020-04-24,855.05,858.73,839.61,842.03
2020-04-27,851.34,852.74,841.74,848.40
2020-04-28,848.62,861.27,843.27,854.34
2020-04-29,860.22,863.25,853.80,857.63
2020-04-30,870.04,873.56,865.34,873.56
2020-05-05,862.83,864.96,855.72,856.57
2020-05-07,852.75,855.67,838.04,842.56
2020-05-08,848.77,852.58,840.92,848.27
2020-05-11,857.08,869.80,856.32,864.32
2020-05-12,862.68,875.14,860.78,872.60
2020-05-13,870.05,874.65,864.38,867.36
2020-05-14,860.67,863.81,852.78,856.11
2020-05-15,860.48,862.07,853.52,854.57
2020-05-18,862.10,866.75,857.05,858.94
2020-05-19,876.86,882.78,872.28,875.44
2020-05-20,876.12,883.08,872.55,883.08
2020-05-21,889.20,891.36,877.10,881.97
2020-05-22,872.31,873.76,855.96,867.81
2020-05-25,870.15,880.52,865.73,878.06
2020-05-26,889.03,896.78,885.98,888.53
2020-05-27,889.60,895.66,882.17,895.13
2020-05-28,903.39,904.63,888.84,888.84
2020-05-29,886.46,896.10,879.17,896.01
2020-06-01,905.10,909.52,898.81,901.45
2020-06-02,908.03,919.05,904.53,919.05
2020-06-04,936.95,949.26,933.68,946.71
2020-06-05,949.46,968.33,939.26,965.37
2020-06-08,975.69,979.98,959.34,965.12
2020-06-09,964.03,971.75,936.25,941.69
2020-06-10,948.31,954.26,937.47,950.03
2020-06-11,945.65,951.60,923.35,932.34
2020-06-12,905.89,924.28,902.47,920.52
2020-06-15,912.11,916.98,886.27,889.98
2020-06-16,915.72,916.97,905.63,909.52
2020-06-17,905.22,918.64,901.82,914.49
2020-06-18,900.29,914.53,899.26,910.63
2020-06-19,912.93,915.59,905.09,907.67
2020-06-22,899.01,905.79,890.73,893.92
2020-06-23,899.23,901.29,892.77,897.32
2020-06-24,901.13,903.56,879.90,880.20
