,Date to Expired,Date,S50Z21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
112,112,2021-07-14,934.9,925.0,39.0,29.0,68.0,23.3,19.9,43.2,943.5,945.17,936.74,940.68,0.19185616796247293
113,113,2021-07-13,936.0,925.0,38.9,28.9,67.8,24.2,19.0,43.2,937.27,945.92,935.54,944.31,0.19280473848401034
114,114,2021-07-12,925.2,925.0,31.1,33.5,64.6,20.0,24.2,44.2,937.99,939.96,928.96,932.24,0.19241972190125212
115,115,2021-07-09,929.1,925.0,36.0,34.5,70.5,20.0,20.2,40.2,927.6,938.34,925.8,934.18,0.19302503450338732
116,116,2021-07-08,924.6,925.0,34.5,36.0,70.5,20.0,25.5,45.5,940.33,942.61,927.15,929.76,0.192998196557396
117,117,2021-07-07,940.4,950.0,24.8,38.4,63.2,15.5,28.1,43.6,951.5,954.39,945.96,948.23,0.1920267822753725
118,118,2021-07-06,947.9,950.0,32.0,29.2,61.2,20.8,22.5,43.3,955.26,960.0,954.4,956.78,0.19188071977165752
119,119,2021-07-05,943.5,950.0,30.4,32.6,63.0,19.5,25.0,44.5,950.72,951.93,945.73,950.33,0.19297382687239936
120,120,2021-07-02,942.3,950.0,30.6,34.2,64.80000000000001,18.0,25.8,43.8,954.76,958.89,945.86,949.27,0.19594370247880788
121,121,2021-07-01,949.9,,,,,,,,955.95,960.45,951.61,957.36,0.19617859741484794
